D.O.B,Time,Gender,location,District,state
1967-10-01,17:00:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
1972-01-15,09:20:00,Male,ponduru,Srikakulam,Andhra pradesh
1972-12-17,07:45:00,Male,Kothapeta,Vizianagaram,Andhra pradesh
1974-06-15,06:30:00,Male,ponduru,Srikakulam,Andhra pradesh
1974-12-16,04:00:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
1975-11-03,06:00:00,Male,Chennnai,chennai,Andhra pradesh
1976-08-18,20:10:00,Female,Kothapeta,Vizianagaram,Andhra pradesh
1976-12-18,03:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
1977-12-25,12:05:00,Male,Railway hospital,Visakhapatnam,Andhra pradesh
1978-03-27,06:30:00,Male,Bhimili,Visakhapatnam,Andhra pradesh
1978-07-05,07:35:00,Male,Purnamarket,Visakhapatnam,Andhra pradesh
1979-06-08,03:00:00,Male,BC colony,Vizianagaram,Andhra pradesh
1980-02-09,11:10:00,Female,ponduru,Srikakulam,Andhra pradesh
1980-04-05,17:30:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
1980-07-11,01:00:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
1983-04-30,14:15:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
1984-05-05,15:30:00,Female,Gunupur,Visakhapatnam,odisha
1985-02-10,04:20:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
1985-04-19,21:30:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
1985-05-25,02:25:00,Male,vepada,Vizianagaram,Andhra pradesh
1987-11-15,08:10:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
1988-01-01,05:00:00,Male,Kotiya,Darbanga,Bihar
1988-07-10,12:00:00,Female,BC colony,Vizianagaram,Andhra pradesh
1989-10-17,05:05:00,Female,jute mill,Vizianagaram,Andhra pradesh
1990-03-09,13:04:00,Female,New colony,Visakhapatnam,Andhra pradesh
1990-10-03,07:20:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
1991-01-01,04:39:00,Male,Ramabhadrapuram,Vizianagaram,Andhra pradesh
1992-02-15,16:20:00,Male,Balaga Hospital,Srikakulam,Andhra pradesh
1992-04-13,14:30:00,Male,M.V.P colony,Visakhapatnam,Andhra pradesh
1992-09-07,06:50:00,Female,palasa,Srikakulam,Andhra pradesh
1992-09-13,11:00:00,Female,NAD ,Visakhapatnam,Andhra pradesh
1992-10-03,05:50:00,Female,Allipuram,Visakhapatnam,Andhra pradesh
1992-10-08,16:35:00,Male,Anakapalli,Visakhapatnam,Andhra pradesh
1995-01-20,01:00:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
1995-05-31,02:00:00,Male,Narsipatnam,Visakhapatnam,Andhra pradesh
1995-10-18,20:25:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
1996-01-16,16:30:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
1996-08-15,09:10:00,Male,Kothapeta,Vizianagaram,Andhra pradesh
1996-11-11,08:10:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
1996-12-10,09:45:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
1997-05-10,03:30:00,Male,Ramabhadrapuram,Vizianagaram,Andhra pradesh
1997-06-08,04:00:00,Male,Jadagam,Jadagam,West Bengal
1997-08-12,14:30:00,Female,uttaravalli,Vizianagaram,Andhra pradesh
1997-11-10,03:00:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
1998-08-29,22:20:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
1998-12-05,16:00:00,Male,Golla veedhi,Visakhapatnam,Andhra pradesh
1999-05-21,00:00:00,Female,uttaravalli,Vizianagaram,Andhra pradesh
2000-05-04,13:43:00,Female,Palasa,Srikakulam,Andhra pradesh
2000-11-20,23:45:00,Male,Kancharapalem,Visakhapatnam,Andhra pradesh
2000-11-24,15:30:00,Male,Kancharapalem,Visakhapatnam,Andhra pradesh
2001-02-21,04:25:00,Male,Kancharapalem,Visakhapatnam,Andhra pradesh
2001-05-17,12:35:00,Male,Chodavaram,Visakhapatnam,Andhra pradesh
2001-06-01,14:20:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2001-08-30,17:30:00,Male,Bobbili,Vizianagaram,Andhra pradesh
2001-11-22,12:00:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2001-12-19,13:20:00,Male,Adharshnagar,Visakhapatnam,Andhra pradesh
2001-12-20,06:30:00,Male,Amalapuram,East Godavari,Andhra pradesh
2002-01-29,12:10:00,Female,M.V.P colony,Visakhapatnam,Andhra pradesh
2002-02-15,19:11:00,Male,Bany,chhatra,Jharkand
2002-06-14,19:20:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2002-08-05,14:00:00,Male,Bany,chhatra,Jharkand
2002-09-12,05:30:00,Male,Diamond park,Visakhapatnam,Andhra pradesh
2003-04-29,20:45:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2003-05-15,05:20:00,Male,Dwaraka nagar,Visakhapatnam,Andhra pradesh
2003-08-12,05:40:00,Female,Kala Hospital,Visakhapatnam,Andhra pradesh
2003-10-18,06:55:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2003-11-12,12:30:00,Female,Gunupur,Rayagada,odisha
2003-11-21,07:50:00,Female,Gunupur,Rayagada,odisha
2003-12-15,10:20:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2003-12-31,21:30:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2004-01-01,02:00:00,Male,Lakhey,Ahzaribang,Jharkand
2004-01-29,02:20:00,Male,M.V.P colony,Visakhapatnam,Andhra pradesh
2004-10-26,04:10:00,Female,Pedda waltair,Visakhapatnam,Andhra pradesh
2004-11-18,09:20:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2004-12-15,11:35:00,Female,Kala Hospital,Visakhapatnam,Andhra pradesh
2004-12-16,13:40:00,Female,Narasannapeta,Srikakulam,Andhra pradesh
2005-05-31,00:30:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2005-08-30,04:20:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2005-09-05,15:00:00,Female,Rourkela,Sundergarh,odisha
2005-10-02,19:20:00,Female,Diamond park,visakhapatnam,Andhra pradesh
2005-10-29,09:00:00,Male,Parvathipuram,Vizianagaram,Andhra pradesh
2006-01-08,01:00:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2006-03-31,13:20:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
2006-04-14,00:30:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2006-04-14,12:31:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2006-04-15,21:00:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2006-04-22,08:40:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2006-04-26,23:30:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2006-05-22,08:00:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2006-06-03,13:00:00,Male,Tuni,Visakhapatnam,Andhra pradesh
2006-06-18,22:40:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2006-06-20,18:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2006-06-21,07:10:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2006-07-01,04:00:00,Female,Gunupur,Rayagada,odisha
2006-07-01,12:30:00,Female,Gunupur,Rayagada,odisha
2006-07-03,00:40:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2006-07-12,18:00:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2006-07-28,12:00:00,Female,Rajamundry,East Godavari,Andhra pradesh
2006-09-06,11:45:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2006-10-07,09:10:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2006-11-10,11:30:00,Female,RIMS,Srikakulam,Andhra pradesh
2006-12-27,13:10:00,Female,Kancharapalem,Visakhapatnam,Andhra pradesh
2007-01-10,23:30:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2007-01-23,09:40:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2007-02-16,03:30:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2007-02-23,16:00:00,Female,New colony,Visakhapatnam,Andhra pradesh
2007-04-23,14:00:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2007-05-06,22:00:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2007-07-03,19:00:00,Male,Gajuwaka,Visakhapatnam,Andhra pradesh
2007-11-30,13:00:00,Female,M.V.P colony,Visakhapatnam,Andhra pradesh
2008-03-21,08:30:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2008-06-26,11:30:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2008-08-26,15:00:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2008-10-14,15:05:00,Male,Maddilapalem,Visakhapatnam,Andhra pradesh
2008-11-14,15:00:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2008-11-29,00:30:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2009-01-30,06:20:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2009-06-26,10:30:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
2009-07-07,11:45:00,Female,M.V.P colony,Visakhapatnam,Andhra pradesh
2009-07-19,06:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2009-12-17,05:00:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
2010-02-02,15:10:00,Male,Daba gardens,Visakhapatnam,Andhra pradesh
2010-02-03,09:10:00,Male,Akkayapalem,Visakhapatnam,Andhra pradesh
2010-02-28,10:30:00,Female,rajam ,Srikakulam,Andhra pradesh
2010-07-03,05:00:00,Female,Sanapalvani peta,Srikakulam,Andhra pradesh
2010-07-03,19:10:00,Female,kachach,Visakhapatnam,Andhra pradesh
2010-08-18,23:30:00,Male,Rourkela,Sundergarh,odisha
2010-10-23,15:35:00,Male,New colony,Visakhapatnam,Andhra pradesh
2010-11-02,10:30:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2010-11-11,20:00:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2010-12-19,09:20:00,Female,Sivaji hospital,Srikakulam,Andhra pradesh
2010-12-24,08:00:00,Female,Parvathipuram,Vizianagaram,Andhra pradesh
2011-01-21,22:00:00,Male,Anakapalli,Visakhapatnam,Andhra pradesh
2011-02-09,11:20:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2011-02-24,06:55:00,Female,kakinada ,Visakhapatnam,Andhra pradesh
2011-03-10,22:30:00,Female,Jagadamba,Visakhapatnam,Andhra pradesh
2011-03-10,01:40:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2011-03-10,10:20:00,Female,Town Kotha road,Visakhapatnam,Andhra pradesh
2011-03-14,20:35:00,Male,RIMS,Srikakulam,Andhra pradesh
2011-05-14,00:00:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2011-05-21,06:35:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2011-06-06,17:30:00,Female,Amalapuram,Visakhapatnam,Andhra pradesh
2011-09-02,12:16:00,Male,Marripalem,Visakhapatnam,Andhra pradesh
2011-09-02,06:30:00,Female,Gajuwaka,Visakhapatnam,Andhra pradesh
2011-09-06,14:30:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2011-11-06,22:00:00,Male,kotapadu,Visakhapatnam,Andhra pradesh
2011-11-22,14:30:00,Male,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2012-05-06,04:45:00,Male,Town Kotha road,Visakhapatnam,Andhra pradesh
2012-09-12,02:00:00,Male,Madgula,Visakhapatnam,Andhra pradesh
2012-09-21,09:00:00,Female,K.G.H Hospital,Visakhapatnam,Andhra pradesh
2012-09-30,11:50:00,Female,Sanapalvani peta,Srikakulam,Andhra pradesh
2012-11-10,09:20:00,Male,Narasannapeta,Srikakulam,Andhra pradesh
2013-01-06,12:24:00,Male,kakinada ,Visakhapatnam,Andhra pradesh
2013-02-02,19:30:00,Female,Akkayapalem,Visakhapatnam,Andhra pradesh
